"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-APC-A :: CD19","Comp-APC-Cy7-A :: CD4","Comp-AmCyan-A :: L_D","Comp-BV711-A :: CD8","Comp-FITC-A :: CD49b","Comp-PE-A :: CD45","Comp-PE-Cy7-A :: TCRb","Comp-Pacific Blue-A :: NKp46","Time"
327,287,292,112,99,289,427,239,586,225,395,651,232,257,561
493,442,286,85,79,277,459,231,522,220,378,706,227,234,562
377,330,293,106,97,281,566,217,723,262,431,646,255,238,563
247,220,288,65,60,277,493,237,499,265,281,676,250,223,565
418,390,274,98,93,271,563,226,619,251,404,714,259,253,576
366,333,281,77,74,269,529,233,536,222,407,677,241,229,576
370,346,274,88,83,272,468,225,530,228,394,707,236,224,591
415,375,284,87,82,272,500,242,562,232,398,703,230,241,597
234,209,286,84,78,275,583,245,520,216,369,715,244,241,603
225,203,283,80,75,273,562,243,458,239,355,702,232,239,604
236,215,282,63,60,273,535,238,471,214,337,698,242,252,606
522,438,305,143,127,289,432,236,606,243,419,782,283,246,612
283,240,301,109,96,290,623,234,543,216,371,717,257,246,615
481,400,308,149,126,302,561,242,608,223,288,800,251,230,616
294,273,276,59,55,274,571,208,364,241,199,668,241,248,619
248,219,289,121,110,281,546,230,580,250,492,730,232,228,621
368,346,272,80,76,269,527,246,425,225,382,688,233,243,622
314,283,284,108,101,273,556,225,566,253,317,703,232,223,627
193,174,284,54,51,273,520,239,366,221,313,664,224,212,628
399,373,274,49,49,256,505,242,508,245,278,651,250,234,628
286,257,285,77,71,276,511,237,522,229,330,653,222,247,634
361,340,272,77,72,276,545,237,415,225,368,689,243,236,640
412,383,276,66,61,274,481,234,486,223,282,719,223,240,640
382,354,277,56,53,268,504,236,530,224,318,663,232,245,641
236,218,277,45,41,283,445,229,626,228,290,665,229,234,643
531,476,285,98,91,277,431,222,548,238,467,755,243,235,648
368,338,279,122,115,271,529,230,589,232,328,706,239,221,650
419,382,281,73,67,281,505,251,490,235,254,646,235,237,655
536,497,276,68,64,272,483,245,566,247,239,681,225,231,661
236,215,281,85,80,271,535,221,522,226,251,721,233,230,664
377,345,280,72,69,268,514,221,528,234,394,697,245,255,665
235,215,279,82,77,272,517,261,398,218,348,693,239,239,669
298,264,290,132,120,282,625,233,583,222,494,681,244,241,670
347,319,279,86,83,264,568,240,441,244,413,666,247,236,671
208,186,286,75,70,274,572,239,537,209,185,717,235,234,671
217,193,287,80,71,287,520,223,594,252,312,693,241,233,672
729,609,306,161,138,298,556,257,564,230,426,798,243,232,672
307,276,284,61,47,333,491,234,442,226,364,660,235,244,682
179,159,287,87,80,281,554,229,440,246,185,720,223,241,685
250,228,281,86,81,273,565,207,505,225,352,708,240,235,686
246,225,280,84,78,273,530,239,344,233,420,687,236,245,691
283,263,276,94,89,269,553,238,481,254,392,709,245,250,695
279,246,290,68,63,277,527,236,443,229,434,671,220,237,698
238,207,294,80,76,271,592,222,563,223,363,720,258,225,698
330,307,276,76,72,269,530,231,377,253,232,717,232,235,701
457,407,287,102,96,272,501,221,487,242,439,717,230,238,705
198,177,287,64,60,276,560,223,442,227,284,695,230,244,706
424,357,304,102,93,281,426,238,576,229,338,741,239,241,708
251,229,281,73,69,271,547,258,439,217,405,724,232,254,708
233,203,294,96,89,275,562,222,589,232,466,695,248,245,709
316,288,280,59,56,270,535,258,485,225,238,678,231,246,710
347,316,281,72,68,271,533,236,573,233,366,694,262,223,710
307,240,327,238,203,301,551,230,585,238,422,829,291,259,712
350,328,273,55,52,269,506,248,555,239,406,696,233,221,713
350,326,275,93,84,283,547,224,572,244,476,720,243,239,717
211,189,286,82,75,280,582,247,520,228,310,692,238,232,718
585,452,331,228,191,305,489,236,646,242,501,747,241,250,726
214,186,295,58,53,279,541,243,379,221,224,689,244,254,730
147,136,277,99,87,293,558,231,583,212,291,696,244,248,731
170,158,275,63,57,280,487,242,734,233,290,675,242,226,735
297,282,270,59,56,271,504,235,481,231,370,669,241,229,738
225,205,281,78,73,273,544,227,420,219,402,722,240,224,744
458,405,290,104,95,282,507,223,575,229,435,724,232,232,745
541,462,300,142,123,296,521,236,602,235,456,790,263,242,746
353,317,285,73,66,285,420,242,297,219,343,730,232,256,748
249,225,283,100,85,301,464,242,563,250,285,729,262,242,750
768,655,300,255,221,295,436,229,649,249,457,713,230,257,753
690,609,290,115,106,278,508,227,514,255,387,665,228,246,754
395,370,273,86,80,276,470,234,477,233,264,642,231,241,757
605,509,304,192,159,308,574,236,532,223,494,792,250,264,758
