experiment,day,mouse,tx,cdiffstrain,absweight,relweight,diarrhea,cdiffcfu,death
ks52,5,22,4mnvc,st1.68.vpi,17.3,94.02173913,1,,0
ks52,5,24,4mnvc,st1.68.vpi,17.2,85.5721393,0,,0
ks52,5,25,4mnvc,st1.75.vpi,21.3,107.0351759,0,,0
ks52,5,26,4mnvc,st1.75.vpi,18.9,108,0,,0
ks52,5,27,4mnvc,st1.75.vpi,17.4,102.3529412,1,,0
ks52,5,29,4mnvc,vpi,16.4,82,1,,0
ks52,5,32,4mnvc,ui,18.2,100,0,,0
ks52,6,1,4mnvc,st1.2,18.5,92.039801,1,,0
ks52,6,2,4mnvc,st1.2,16.6,86.91099476,1,,0
ks52,6,3,4mnvc,st1.2,15.5,74.16267943,1,,0
ks52,6,4,4mnvc,st1.2.vpi,17,97.14285714,1,,0
ks52,6,5,4mnvc,st1.2.vpi,17.7,89.84771574,1,,0
ks52,6,7,4mnvc,st1.11,15.1,86.7816092,1,,0
ks52,6,8,4mnvc,st1.11,17.5,87.06467662,1,,0
ks52,6,9,4mnvc,st1.11,16.6,92.22222222,0,,0
ks52,6,10,4mnvc,st1.11.vpi,16.5,89.67391304,0,,0
ks52,6,11,4mnvc,st1.11.vpi,15.1,94.96855346,0,,0
ks52,6,12,4mnvc,st1.11.vpi,15.8,81.86528497,1,,0
ks52,6,13,4mnvc,st1.65,16.1,85.18518519,1,,0
ks52,6,14,4mnvc,st1.65,18.6,89.42307692,0,,0
ks52,6,15,4mnvc,st1.65,19.7,98.5,0,,0
ks52,6,16,4mnvc,st1.65.vpi,16.5,88.23529412,1,,0
ks52,6,17,4mnvc,st1.65.vpi,19,100,0,,0
ks52,6,18,4mnvc,st1.65.vpi,16.5,88.70967742,1,,0
ks52,6,19,4mnvc,st1.68,19.4,98.47715736,0,,0
ks52,6,20,4mnvc,st1.68,21.4,100.9433962,0,,0
ks52,6,21,4mnvc,st1.68,17,90.90909091,1,,0
ks52,6,22,4mnvc,st1.68.vpi,17.4,94.56521739,1,,0
ks52,6,24,4mnvc,st1.68.vpi,16.9,84.07960199,0,,0
ks52,6,25,4mnvc,st1.75.vpi,20.9,105.0251256,0,,0
ks52,6,26,4mnvc,st1.75.vpi,18.4,105.1428571,1,,0
ks52,6,27,4mnvc,st1.75.vpi,17.4,102.3529412,0,,0
ks52,6,29,4mnvc,vpi,15.2,76,1,,0
ks52,6,32,4mnvc,ui,18.4,101.0989011,0,,0
ks52,7,1,4mnvc,st1.2,18,89.55223881,1,140350877.2,0
ks52,7,2,4mnvc,st1.2,17.8,93.19371728,1,178571428.6,0
ks52,7,3,4mnvc,st1.2,16.5,78.94736842,1,180555555.6,0
ks52,7,4,4mnvc,st1.2.vpi,15.7,89.71428571,1,134146341.5,0
ks52,7,5,4mnvc,st1.2.vpi,18.3,92.89340102,0,211538461.5,0
ks52,7,7,4mnvc,st1.11,16.3,93.67816092,0,13888888.89,0
ks52,7,8,4mnvc,st1.11,17.5,87.06467662,1,261194029.9,0
ks52,7,9,4mnvc,st1.11,16.9,93.88888889,0,263157894.7,0
ks52,7,10,4mnvc,st1.11.vpi,17.6,95.65217391,0,150000000,0
ks52,7,11,4mnvc,st1.11.vpi,15,94.33962264,0,64814814.81,0
ks52,7,12,4mnvc,st1.11.vpi,15.8,81.86528497,1,166666666.7,0
ks52,7,13,4mnvc,st1.65,16.8,88.88888889,1,44594594.59,0
ks52,7,14,4mnvc,st1.65,18.3,87.98076923,0,84745762.71,0
ks52,7,15,4mnvc,st1.65,18.9,94.5,1,263636363.6,0
ks52,7,16,4mnvc,st1.65.vpi,17.2,91.97860963,0,340000000,0
ks52,7,17,4mnvc,st1.65.vpi,18,94.73684211,0,104166666.7,0
ks52,7,18,4mnvc,st1.65.vpi,17.1,91.93548387,0,71212121.21,0
ks52,7,19,4mnvc,st1.68,19.2,97.46192893,0,104761904.8,0
ks52,7,20,4mnvc,st1.68,21.5,101.4150943,0,155737704.9,0
ks52,7,21,4mnvc,st1.68,17.5,93.5828877,0,224137931,0
ks52,7,22,4mnvc,st1.68.vpi,17,92.39130435,1,152542372.9,0
ks52,7,24,4mnvc,st1.68.vpi,18.2,90.54726368,0,15000000,0
ks52,7,25,4mnvc,st1.75.vpi,20.6,103.5175879,0,375000000,0
ks52,7,26,4mnvc,st1.75.vpi,16.5,94.28571429,0,97222222.22,0
ks52,7,27,4mnvc,st1.75.vpi,17.3,101.7647059,0,162790697.7,0
ks52,7,29,4mnvc,vpi,15.6,78,1,,0
ks52,7,32,4mnvc,ui,19.8,108.7912088,0,0,0
ks53,0,1,3mnvc,st1.53,19.4,100,0,0,0
ks53,0,2,3mnvc,st1.53,18.1,100,0,0,0
ks53,0,3,3mnvc,st1.53,18.8,100,0,0,0
ks53,0,4,3mnvc,st1.53.vpi,15.7,100,0,0,0
ks53,0,5,3mnvc,st1.53.vpi,19.4,100,0,0,0
ks53,0,6,3mnvc,st1.53.vpi,18.7,100,0,0,0
ks53,0,7,3mnvc,st1.57,19.4,100,0,0,0
ks53,0,8,3mnvc,st1.57,17.8,100,0,0,0
ks53,0,9,3mnvc,st1.57,18.2,100,0,0,0
ks53,0,10,3mnvc,st1.57.vpi,18.5,100,0,0,0
ks53,0,11,3mnvc,st1.57.vpi,19,100,0,0,0
ks53,0,12,3mnvc,st1.57.vpi,18.3,100,0,0,0
ks53,0,13,3mnvc,st1.58,20,100,0,0,0
ks53,0,14,3mnvc,st1.58,18.6,100,0,0,0
ks53,0,15,3mnvc,st1.58,18.5,100,0,0,0
ks53,0,16,3mnvc,st1.58.vpi,18.3,100,0,0,0
ks53,0,17,3mnvc,st1.58.vpi,20.6,100,0,0,0
ks53,0,18,3mnvc,st1.58.vpi,18.7,100,0,0,0
ks53,0,19,3mnvc,st1.62,19.5,100,0,0,0
ks53,0,20,3mnvc,st1.62,16.9,100,0,0,0
ks53,0,21,3mnvc,st1.62,19.7,100,0,0,0
ks53,0,22,3mnvc,st1.62.vpi,17.8,100,0,0,0
ks53,0,23,3mnvc,st1.62.vpi,18.5,100,0,0,0
ks53,0,24,3mnvc,st1.62.vpi,18.8,100,0,0,0
ks53,0,25,3mnvc,st1.75.vpi,18.1,100,0,0,0
ks53,0,26,3mnvc,st1.75.vpi,17.8,100,0,0,0
ks53,0,27,3mnvc,st1.75.vpi,19,100,0,0,0
ks53,0,28,3mnvc,vpi,18.3,100,0,0,0
ks53,0,29,3mnvc,vpi,19,100,0,0,0
ks53,0,30,3mnvc,vpi,19.4,100,0,0,0
ks53,0,31,3mnvc,vpi,18,100,0,0,0
ks53,0,32,3mnvc,vpi,17.1,100,0,0,0
ks53,0,33,3mnvc,ui,18.5,100,0,0,0
ks53,1,1,3mnvc,st1.53,19.7,101.5463918,0,85106382.98,0
ks53,1,2,3mnvc,st1.53,18.8,103.8674033,0,19696969.7,0
ks53,1,3,3mnvc,st1.53,18.9,100.5319149,0,41417910.45,0
ks53,1,4,3mnvc,st1.53.vpi,15.8,100.6369427,0,46739130.43,0
ks53,1,5,3mnvc,st1.53.vpi,18.9,97.42268041,0,53658536.59,0
ks53,1,6,3mnvc,st1.53.vpi,18.8,100.5347594,0,81818181.82,0
ks53,1,7,3mnvc,st1.57,19.7,101.5463918,0,104838709.7,0
ks53,1,8,3mnvc,st1.57,18.2,102.247191,0,50781250,0
ks53,1,9,3mnvc,st1.57,18.2,100,0,125000000,0
ks53,1,10,3mnvc,st1.57.vpi,18.9,102.1621622,0,75500000,0
ks53,1,11,3mnvc,st1.57.vpi,18.7,98.42105263,0,58571428.57,0
ks53,1,12,3mnvc,st1.57.vpi,19.1,104.3715847,0,39705882.35,0
ks53,1,13,3mnvc,st1.58,20,100,0,56250000,0
ks53,1,14,3mnvc,st1.58,19.6,105.3763441,0,34722222.22,0
